person_id,email,event_name,campaign_name,event_timestamp
KL-46064,zoe.gonzalez79@outlook.com,Opened Email,New Arrivals,2026-04-24T15:42:00Z
KL-95859,olivia.gonzalez68@outlook.com,Opened Email,New Arrivals,2026-01-01T05:40:00Z
KL-86296,arjun.costa47@gmail.com,Unsubscribed,New Arrivals,2026-01-21T06:16:00Z
KL-1204,olivia.martin71@yahoo.com,Clicked Email,New Arrivals,2026-05-18T10:47:00Z
KL-30532,liam.chen76@hotmail.com,Unsubscribed,Winter Clearance,2026-02-25T13:55:00Z
KL-93338,james.patel8@outlook.com,Opened Email,New Arrivals,2026-01-28T16:11:00Z
KL-82779,maria.garcia84@yahoo.com,Clicked Email,Winter Clearance,2026-01-11T07:36:00Z
KL-16732,nina.johnson93@yahoo.com,Unsubscribed,Summer Sale,2026-04-26T22:37:00Z
KL-82779,maria.garcia84@yahoo.com,Clicked Email,Winter Clearance,2026-06-04T14:30:00Z
KL-27250,nina.sharma67@gmail.com,Opened Email,Winter Clearance,2026-07-16T07:57:00Z
KL-61970,priya.patel13@example.com,Opened Email,Summer Sale,2026-03-25T00:24:00Z
KL-21628,david.kim82@example.com,Opened Email,Summer Sale,2026-06-27T05:11:00Z
KL-65029,noah.obrien17@gmail.com,Clicked Email,Loyalty Perks,2026-06-06T02:25:00Z
KL-2159,zoe.chen56@outlook.com,Clicked Email,Summer Sale,2026-07-11T17:28:00Z
KL-98639,tom.khan53@hotmail.com,Opened Email,Winter Clearance,2026-05-05T23:04:00Z
KL-91462,noah.novak73@yahoo.com,Opened Email,Summer Sale,2026-05-05T10:36:00Z
KL-9599,ethan.tanaka9@yahoo.com,Unsubscribed,Summer Sale,2026-05-19T17:49:00Z
KL-54281,fatima.johnson58@yahoo.com,Opened Email,New Arrivals,2026-04-20T19:34:00Z
KL-97244,emma.johnson50@yahoo.com,Opened Email,New Arrivals,2026-02-02T10:51:00Z
KL-13177,fatima.khan17@gmail.com,Opened Email,Winter Clearance,2026-06-20T22:44:00Z
KL-95281,raj.smith31@example.com,Opened Email,New Arrivals,2026-03-20T10:54:00Z
KL-55065,david.wilson85@example.com,Opened Email,Summer Sale,2026-03-12T14:40:00Z
KL-13895,ethan.lee85@outlook.com,Unsubscribed,Summer Sale,2026-06-21T14:05:00Z
KL-38988,priya.costa85@gmail.com,Opened Email,New Arrivals,2026-05-13T14:24:00Z
KL-84185,priya.tanaka50@example.com,Opened Email,New Arrivals,2026-01-20T14:17:00Z
KL-30959,emma.brown0@gmail.com,Opened Email,Summer Sale,2026-06-21T21:29:00Z
KL-47203,noah.khan59@gmail.com,Unsubscribed,Winter Clearance,2026-05-05T19:36:00Z
KL-17492,tom.tanaka29@outlook.com,Unsubscribed,New Arrivals,2026-07-27T04:20:00Z
KL-27359,priya.costa70@hotmail.com,Opened Email,Winter Clearance,2026-06-02T20:34:00Z
KL-77537,zoe.johnson65@yahoo.com,Opened Email,Winter Clearance,2026-06-06T21:40:00Z
KL-77239,aiko.lee25@yahoo.com,Opened Email,Loyalty Perks,2026-01-23T08:56:00Z
KL-99234,arjun.smith15@gmail.com,Clicked Email,Winter Clearance,2026-04-24T19:21:00Z
KL-41448,ethan.smith60@example.com,Unsubscribed,Summer Sale,2026-01-22T03:10:00Z
KL-6459,lucas.lee46@gmail.com,Opened Email,Loyalty Perks,2026-07-12T08:16:00Z
KL-85248,arjun.tanaka93@gmail.com,Clicked Email,Winter Clearance,2026-05-13T06:08:00Z
KL-3067,tom.patel83@example.com,Opened Email,New Arrivals,2026-06-08T20:08:00Z
KL-54281,fatima.johnson58@yahoo.com,Opened Email,Winter Clearance,2026-07-28T07:55:00Z
KL-43313,ethan.costa2@hotmail.com,Opened Email,Loyalty Perks,2026-04-06T08:05:00Z
