customer_id,first_name,last_name,email,phone,city,state,zip,country,loyalty_no,created_at,updated_at,accepts_marketing
SH-20000,Tom,Gonzalez,tom.gonzalez0@yahoo.com,,Denver,CO,80202,US,LY-70000,2025-12-18,2026-01-19,false
SH-20001,James,Gonzalez,james.gonzalez1@yahoo.com,,San Jose,CA,95112,US,LY-70001,2025-04-23,2026-06-23,false
SH-20002,Liam,Martin,liam.martin2@gmail.com,(364) 555-7924,Denver,CO,80202,US,LY-70002,2023-04-25,2026-03-04,true
SH-20003,Chen,OBrien,chen.obrien3@outlook.com,(245) 555-8527,Seattle,WA,98101,US,LY-70003,2024-02-18,2026-03-27,false
SH-20004,Arjun,Ali,arjun.ali4@gmail.com,(497) 555-2307,San Jose,CA,95112,US,LY-70004,2023-07-09,2026-04-21,false
SH-20005,David,Lee,david.lee5@yahoo.com,(919) 555-2169,Seattle,WA,98101,US,LY-70005,2023-09-24,2026-02-06,false
SH-20006,Chen,Johnson,chen.johnson6@outlook.com,(258) 555-4752,Boston,MA,02108,US,LY-70006,2024-07-09,2026-01-07,false
SH-20007,Sara,Lopez,sara.lopez7@hotmail.com,,Chicago,IL,60601,US,,2025-09-18,2026-03-24,false
SH-20008,Arjun,Brown,arjun.brown8@yahoo.com,(342) 555-9348,Seattle,WA,98101,US,LY-70008,2023-02-05,2026-06-06,false
SH-20009,Nina,Sharma,nina.sharma9@hotmail.com,(680) 555-9669,Chicago,IL,60601,US,,2025-01-22,2026-06-04,false
SH-20010,Olivia,OBrien,olivia.obrien10@hotmail.com,,Denver,CO,80202,US,,2025-12-09,2026-05-25,true
SH-20011,Ethan,OBrien,ethan.obrien11@example.com,(357) 555-7126,Denver,CO,80202,US,LY-70011,2025-09-01,2026-05-11,false
SH-20012,Maria,OBrien,maria.obrien12@outlook.com,,Seattle,WA,98101,US,,2025-02-03,2026-06-16,true
SH-20013,Zoe,Tanaka,zoe.tanaka13@hotmail.com,(370) 555-5342,Austin,TX,78701,US,LY-70013,2025-07-07,2026-05-25,true
SH-20014,Noah,Brown,noah.brown14@hotmail.com,(663) 555-2982,Seattle,WA,98101,US,,2023-06-01,2026-05-18,true
SH-20015,Arjun,Smith,arjun.smith15@gmail.com,(261) 555-4750,New York,NY,10001,US,,2023-06-03,2026-05-08,false
SH-20016,Mia,Ali,mia.ali16@example.com,(449) 555-8749,Austin,TX,78701,US,LY-70016,2023-02-04,2026-06-14,false
SH-20017,Fatima,Khan,fatima.khan17@gmail.com,(862) 555-2612,Miami,FL,33101,US,,2025-06-26,2026-07-04,true
SH-20018,Sara,Ali,sara.ali18@yahoo.com,(486) 555-8579,Miami,FL,33101,US,,2023-08-26,2026-07-28,true
SH-20019,James,Anand,james.anand19@gmail.com,(443) 555-3724,New York,NY,10001,US,LY-70019,2024-04-28,2026-04-02,true
SH-20020,Chen,Gonzalez,chen.gonzalez20@outlook.com,(666) 555-5673,Chicago,IL,60601,US,LY-70020,2025-09-22,2026-06-16,true
SH-20021,Sara,Patel,sara.patel21@gmail.com,(756) 555-1998,Boston,MA,02108,US,LY-70021,2023-01-19,2026-04-17,true
SH-20022,James,Wilson,james.wilson22@yahoo.com,,San Jose,CA,95112,US,,2023-07-04,2026-05-08,true
SH-20023,Nina,Sharma,nina.sharma23@example.com,(524) 555-5272,Chicago,IL,60601,US,,2025-06-08,2026-03-13,true
SH-20024,Noah,Martin,noah.martin24@gmail.com,,Seattle,WA,98101,US,LY-70024,2025-02-03,2026-05-07,false
SH-20025,Aiko,Lee,aiko.lee25@yahoo.com,(362) 555-8179,San Jose,CA,95112,US,LY-70025,2025-05-20,2026-07-21,true
SH-20026,Zoe,Patel,zoe.patel26@yahoo.com,(310) 555-3546,San Jose,CA,95112,US,,2025-04-23,2026-03-07,false
SH-20027,Ethan,Lopez,ethan.lopez27@gmail.com,,Denver,CO,80202,US,LY-70027,2024-01-01,2026-03-25,true
SH-20028,Emma,Kim,emma.kim28@example.com,(775) 555-1158,Miami,FL,33101,US,,2025-03-18,2026-01-27,false
SH-20029,Arjun,Anand,arjun.anand29@hotmail.com,,Austin,TX,78701,US,LY-70029,2023-06-07,2026-06-08,true
SH-20030,Raj,Anand,raj.anand30@example.com,(443) 555-3662,Chicago,IL,60601,US,LY-70030,2023-07-01,2026-02-24,false
SH-20031,Fatima,Smith,fatima.smith31@yahoo.com,(311) 555-7267,Denver,CO,80202,US,LY-70031,2024-04-07,2026-07-15,false
SH-20032,Noah,Smith,noah.smith32@gmail.com,(609) 555-6378,Boston,MA,02108,US,,2023-05-12,2026-06-17,false
SH-20033,Zoe,Garcia,zoe.garcia33@gmail.com,(468) 555-3925,New York,NY,10001,US,LY-70033,2024-01-04,2026-05-14,false
SH-20034,Olivia,Khan,olivia.khan34@hotmail.com,(395) 555-5173,San Jose,CA,95112,US,,2024-01-17,2026-07-18,true
SH-20035,Raj,Khan,raj.khan35@outlook.com,(880) 555-3041,San Jose,CA,95112,US,LY-70035,2024-09-10,2026-06-14,false
SH-20036,Chen,Patel,chen.patel36@yahoo.com,(589) 555-3851,Austin,TX,78701,US,LY-70036,2024-07-18,2026-07-01,false
SH-20037,Noah,Ali,noah.ali37@example.com,(530) 555-8618,Chicago,IL,60601,US,LY-70037,2025-04-17,2026-04-26,true
SH-20038,Priya,Patel,priya.patel38@gmail.com,(970) 555-4848,Seattle,WA,98101,US,LY-70038,2023-04-05,2026-01-02,true
SH-20039,Mia,Novak,mia.novak39@hotmail.com,(845) 555-4185,San Jose,CA,95112,US,LY-70039,2024-08-13,2026-02-05,true
SH-20040,Tom,Khan,tom.khan40@yahoo.com,(913) 555-9486,Boston,MA,02108,US,LY-70040,2025-04-28,2026-01-15,true
SH-20041,Lucas,Wilson,lucas.wilson41@hotmail.com,(937) 555-9270,Seattle,WA,98101,US,LY-70041,2025-08-06,2026-06-28,false
SH-20042,Lucas,Johnson,lucas.johnson42@outlook.com,(734) 555-8939,Boston,MA,02108,US,LY-70042,2024-08-03,2026-06-10,true
SH-20043,Emma,Garcia,emma.garcia43@example.com,,Seattle,WA,98101,US,,2024-12-05,2026-06-07,true
SH-20044,Fatima,Khan,fatima.khan44@example.com,(264) 555-4388,Seattle,WA,98101,US,LY-70044,2024-10-23,2026-01-28,false
SH-20045,Mia,Gonzalez,mia.gonzalez45@outlook.com,(630) 555-9818,Seattle,WA,98101,US,LY-70045,2025-10-08,2026-04-08,false
SH-20046,Fatima,Lopez,fatima.lopez46@hotmail.com,(896) 555-7624,New York,NY,10001,US,LY-70046,2024-03-20,2026-05-01,false
SH-20047,Arjun,Costa,arjun.costa47@gmail.com,(339) 555-8564,New York,NY,10001,US,,2024-07-11,2026-02-15,false
SH-20048,Olivia,Brown,olivia.brown48@hotmail.com,(284) 555-8705,Denver,CO,80202,US,,2025-01-12,2026-02-21,true
SH-20049,James,Gonzalez,james.gonzalez49@yahoo.com,(837) 555-3496,Boston,MA,02108,US,,2024-11-04,2026-05-07,false
SH-20050,Emma,Lee,emma.lee50@example.com,(966) 555-2876,Austin,TX,78701,US,LY-70050,2023-05-04,2026-05-01,false
SH-20051,Arjun,Brown,arjun.brown51@yahoo.com,,Chicago,IL,60601,US,LY-70051,2025-04-04,2026-06-25,false
SH-20052,Nina,OBrien,nina.obrien52@outlook.com,(878) 555-7071,New York,NY,10001,US,,2025-06-01,2026-07-14,false
SH-20053,Tom,Khan,tom.khan53@hotmail.com,(646) 555-3885,Seattle,WA,98101,US,LY-70053,2025-05-20,2026-07-18,false
SH-20054,Lucas,Khan,lucas.khan54@outlook.com,(289) 555-5569,Denver,CO,80202,US,LY-70054,2023-08-19,2026-05-22,false
SH-20055,Olivia,Gonzalez,olivia.gonzalez55@outlook.com,,Miami,FL,33101,US,,2024-06-09,2026-05-23,false
SH-20056,Zoe,Gonzalez,zoe.gonzalez56@gmail.com,,Boston,MA,02108,US,LY-70056,2025-04-23,2026-04-21,false
SH-20057,Lucas,Gonzalez,lucas.gonzalez57@outlook.com,,San Jose,CA,95112,US,LY-70057,2024-11-19,2026-03-16,false
SH-20058,Fatima,Anand,fatima.anand58@outlook.com,(478) 555-6023,Seattle,WA,98101,US,,2023-12-07,2026-03-04,true
SH-20059,Sara,Ali,sara.ali59@outlook.com,(979) 555-9595,Miami,FL,33101,US,LY-70059,2023-04-10,2026-02-12,true
SH-20060,Noah,Gonzalez,noah.gonzalez60@outlook.com,,Austin,TX,78701,US,,2024-12-05,2026-06-28,false
SH-20061,Tom,Gonzalez,tom.gonzalez61@hotmail.com,(549) 555-4020,Denver,CO,80202,US,LY-70061,2024-08-04,2026-07-03,false
SH-20062,Mia,Sharma,mia.sharma62@yahoo.com,,New York,NY,10001,US,LY-70062,2024-02-08,2026-01-18,false
SH-20063,Nina,Novak,nina.novak63@example.com,(654) 555-5871,Boston,MA,02108,US,LY-70063,2024-05-19,2026-05-02,true
SH-20064,Sara,Ali,sara.ali64@gmail.com,,Denver,CO,80202,US,,2023-03-01,2026-04-15,false
SH-20065,Noah,Chen,noah.chen65@outlook.com,(920) 555-8438,Boston,MA,02108,US,,2023-05-26,2026-07-21,true
SH-20066,Fatima,OBrien,fatima.obrien66@yahoo.com,(346) 555-2169,Boston,MA,02108,US,,2024-10-24,2026-07-19,false
SH-20067,Lucas,OBrien,lucas.obrien67@outlook.com,(479) 555-9199,Miami,FL,33101,US,LY-70067,2024-02-20,2026-01-14,false
SH-20068,Nina,Johnson,nina.johnson68@gmail.com,,New York,NY,10001,US,LY-70068,2025-10-01,2026-07-22,false
SH-20069,Arjun,Chen,arjun.chen69@hotmail.com,(653) 555-5557,Austin,TX,78701,US,,2025-07-21,2026-07-16,true
SH-20070,Mia,Lee,mia.lee70@outlook.com,(308) 555-3634,Chicago,IL,60601,US,LY-70070,2025-08-10,2026-06-13,true
SH-20071,Lucas,Sharma,lucas.sharma71@outlook.com,(614) 555-9431,Seattle,WA,98101,US,LY-70071,2023-11-28,2026-05-15,false
SH-20072,James,Ali,james.ali72@example.com,(841) 555-8242,Seattle,WA,98101,US,LY-70072,2023-05-18,2026-02-10,false
SH-20073,Mia,OBrien,mia.obrien73@example.com,(927) 555-3594,New York,NY,10001,US,LY-70073,2023-09-14,2026-01-08,true
SH-20074,Lucas,OBrien,lucas.obrien74@hotmail.com,(499) 555-9337,Austin,TX,78701,US,LY-70074,2024-08-16,2026-02-15,true
SH-20075,Chen,Ali,chen.ali75@gmail.com,(625) 555-6568,Austin,TX,78701,US,LY-70075,2025-05-27,2026-01-10,false
SH-20076,Arjun,Costa,arjun.costa76@yahoo.com,(696) 555-6654,Miami,FL,33101,US,LY-70076,2025-07-15,2026-03-28,true
SH-20077,Liam,Costa,liam.costa77@yahoo.com,(621) 555-1715,Chicago,IL,60601,US,LY-70077,2024-12-26,2026-04-13,true
SH-20078,Mia,Chen,mia.chen78@example.com,(540) 555-2644,Austin,TX,78701,US,LY-70078,2024-02-17,2026-04-01,true
SH-20079,Fatima,Tanaka,fatima.tanaka79@hotmail.com,(472) 555-6546,San Jose,CA,95112,US,LY-70079,2024-11-03,2026-07-11,false
SH-20080,Olivia,Lopez,olivia.lopez80@example.com,,New York,NY,10001,US,LY-70080,2024-04-24,2026-01-14,true
SH-20081,Tom,Martin,tom.martin81@outlook.com,(248) 555-6314,Austin,TX,78701,US,LY-70081,2024-06-12,2026-04-05,true
SH-20082,Ethan,Khan,ethan.khan82@yahoo.com,,Austin,TX,78701,US,LY-70082,2024-10-22,2026-02-16,true
SH-20083,Liam,Martin,liam.martin83@hotmail.com,(210) 555-8622,Denver,CO,80202,US,LY-70083,2025-09-06,2026-01-15,false
SH-20084,Arjun,Patel,arjun.patel84@outlook.com,(510) 555-4263,Chicago,IL,60601,US,LY-70084,2024-02-08,2026-04-19,false
SH-20085,Arjun,Patel,arjun.patel85@gmail.com,(875) 555-7484,Denver,CO,80202,US,,2025-11-25,2026-06-02,false
SH-20086,Noah,Smith,noah.smith86@yahoo.com,(836) 555-5106,Seattle,WA,98101,US,LY-70086,2025-11-22,2026-07-05,true
SH-20087,James,Patel,james.patel87@gmail.com,(950) 555-3153,Miami,FL,33101,US,,2024-06-24,2026-04-06,true
SH-20088,Aiko,Anand,aiko.anand88@example.com,(480) 555-3695,Seattle,WA,98101,US,,2024-05-24,2026-07-11,true
