ticket_id,requester_email,subject,status,priority,created_at,satisfaction_rating
ZD-5000,priya.lopez88@outlook.com,Where is my order,solved,normal,2026-04-21,
ZD-5001,nina.obrien83@hotmail.com,Refund request,solved,normal,2026-04-07,good
ZD-5002,priya.chen69@example.com,Damaged item,solved,normal,2026-04-11,good
ZD-5003,emma.johnson50@yahoo.com,Refund request,solved,normal,2026-05-24,good
ZD-5004,chen.obrien3@outlook.com,Loyalty points missing,open,normal,2026-06-09,good
ZD-5005,james.garcia80@example.com,Where is my order,solved,high,2026-04-09,good
ZD-5006,arjun.tanaka27@outlook.com,Loyalty points missing,pending,high,2026-05-09,good
ZD-5007,arjun.anand57@yahoo.com,Sizing question,pending,high,2026-05-23,
ZD-5008,nina.sharma23@example.com,Refund request,open,normal,2026-07-17,good
ZD-5009,priya.wilson19@example.com,Where is my order,solved,normal,2026-04-17,good
ZD-5010,olivia.obrien43@gmail.com,Where is my order,open,high,2026-07-05,
ZD-5011,liam.martin83@hotmail.com,Sizing question,solved,normal,2026-07-26,good
ZD-5012,zoe.chen56@outlook.com,Damaged item,solved,high,2026-07-15,
ZD-5013,ethan.johnson9@yahoo.com,Damaged item,solved,normal,2026-05-25,
ZD-5014,liam.wilson63@gmail.com,Loyalty points missing,solved,normal,2026-07-27,good
ZD-5015,chen.lee64@hotmail.com,Damaged item,solved,high,2026-05-05,
ZD-5016,olivia.johnson6@yahoo.com,Damaged item,open,normal,2026-07-17,good
ZD-5017,lucas.gonzalez89@yahoo.com,Where is my order,solved,normal,2026-05-09,
ZD-5018,liam.gonzalez90@outlook.com,Refund request,solved,high,2026-07-06,good
ZD-5019,zoe.novak37@gmail.com,Sizing question,pending,normal,2026-07-13,bad
ZD-5020,tom.kim71@example.com,Where is my order,solved,high,2026-07-10,
ZD-5021,noah.ali70@yahoo.com,Loyalty points missing,pending,normal,2026-05-02,bad
ZD-5022,james.chen63@hotmail.com,Refund request,open,high,2026-05-23,bad
ZD-5023,lucas.khan90@hotmail.com,Damaged item,solved,normal,2026-06-25,good
ZD-5024,maria.wilson8@example.com,Refund request,open,high,2026-04-16,
ZD-5025,arjun.tanaka73@outlook.com,Where is my order,solved,normal,2026-05-01,good
ZD-5026,sara.lopez7@hotmail.com,Sizing question,open,normal,2026-06-12,good
ZD-5027,raj.ali11@outlook.com,Loyalty points missing,pending,normal,2026-06-23,bad
ZD-5028,david.lopez62@hotmail.com,Damaged item,solved,normal,2026-04-20,bad
ZD-5029,james.gonzalez49@yahoo.com,Where is my order,solved,normal,2026-05-27,good
ZD-5030,olivia.kim44@hotmail.com,Loyalty points missing,pending,normal,2026-07-27,bad
ZD-5031,noah.brown14@hotmail.com,Where is my order,open,normal,2026-05-26,
ZD-5032,fatima.costa18@example.com,Damaged item,solved,high,2026-07-12,
ZD-5033,olivia.patel79@example.com,Loyalty points missing,pending,high,2026-04-24,good
ZD-5034,raj.kim49@hotmail.com,Loyalty points missing,pending,normal,2026-05-04,
ZD-5035,arjun.smith2@outlook.com,Loyalty points missing,solved,normal,2026-06-07,bad
ZD-5036,tom.tanaka29@outlook.com,Refund request,solved,normal,2026-06-19,good
ZD-5037,nina.johnson10@yahoo.com,Refund request,open,normal,2026-05-06,good
ZD-5038,noah.ali17@example.com,Damaged item,solved,high,2026-04-15,good
ZD-5039,priya.garcia51@gmail.com,Sizing question,solved,high,2026-04-10,good
ZD-5040,liam.chen92@hotmail.com,Sizing question,pending,normal,2026-07-16,bad
ZD-5041,james.lopez33@example.com,Where is my order,pending,normal,2026-05-13,bad
ZD-5042,liam.sharma16@outlook.com,Damaged item,pending,normal,2026-04-22,bad
ZD-5043,chen.smith96@yahoo.com,Refund request,solved,high,2026-05-04,good
ZD-5044,fatima.lopez46@hotmail.com,Loyalty points missing,solved,normal,2026-05-28,bad
ZD-5045,david.obrien81@yahoo.com,Refund request,pending,high,2026-06-25,bad
ZD-5046,nina.johnson68@gmail.com,Sizing question,solved,high,2026-05-20,good
ZD-5047,emma.novak4@hotmail.com,Where is my order,solved,high,2026-06-21,bad
ZD-5048,lucas.martin0@yahoo.com,Refund request,open,normal,2026-07-22,bad
ZD-5049,mia.ali16@example.com,Damaged item,solved,normal,2026-04-06,good
ZD-5050,raj.costa32@hotmail.com,Damaged item,solved,normal,2026-06-19,good
ZD-5051,lucas.gonzalez57@outlook.com,Loyalty points missing,solved,normal,2026-06-04,good
ZD-5052,aiko.chen36@hotmail.com,Refund request,open,normal,2026-07-24,good
ZD-5053,lucas.sharma45@hotmail.com,Loyalty points missing,open,normal,2026-04-10,good
ZD-5054,emma.johnson50@yahoo.com,Sizing question,solved,high,2026-04-03,bad
ZD-5055,arjun.sharma81@hotmail.com,Damaged item,solved,normal,2026-06-19,
ZD-5056,arjun.patel85@gmail.com,Where is my order,solved,normal,2026-05-04,good
ZD-5057,priya.anand2@example.com,Sizing question,solved,high,2026-07-11,bad
ZD-5058,emma.anand90@hotmail.com,Sizing question,pending,normal,2026-07-17,bad
ZD-5059,raj.kim49@hotmail.com,Sizing question,solved,high,2026-05-12,bad
ZD-5060,chen.patel36@yahoo.com,Refund request,solved,normal,2026-07-09,good
ZD-5061,noah.johnson8@gmail.com,Damaged item,solved,high,2026-04-18,
ZD-5062,maria.novak91@example.com,Sizing question,pending,normal,2026-05-07,good
ZD-5063,zoe.chen56@outlook.com,Sizing question,pending,normal,2026-06-28,good
ZD-5064,mia.ali16@example.com,Where is my order,open,normal,2026-05-20,good
ZD-5065,aiko.patel74@outlook.com,Damaged item,open,normal,2026-06-06,good
ZD-5066,tom.sharma17@outlook.com,Damaged item,pending,high,2026-05-25,good
ZD-5067,aiko.chen36@hotmail.com,Loyalty points missing,open,normal,2026-04-28,bad
ZD-5068,james.gonzalez49@yahoo.com,Sizing question,solved,normal,2026-04-10,good
ZD-5069,david.khan78@gmail.com,Sizing question,solved,high,2026-04-13,bad
ZD-5070,ethan.patel22@gmail.com,Loyalty points missing,pending,normal,2026-05-13,bad
ZD-5071,aiko.chen92@outlook.com,Where is my order,pending,normal,2026-04-26,good
ZD-5072,maria.kim1@outlook.com,Refund request,pending,normal,2026-07-10,good
ZD-5073,emma.tanaka54@outlook.com,Refund request,open,normal,2026-07-19,bad
ZD-5074,tom.martin81@outlook.com,Damaged item,solved,high,2026-07-04,
ZD-5075,priya.lopez88@outlook.com,Sizing question,solved,normal,2026-07-15,good
ZD-5076,noah.gonzalez60@outlook.com,Where is my order,solved,normal,2026-04-27,bad
ZD-5077,zoe.brown55@example.com,Sizing question,solved,high,2026-05-24,bad
ZD-5078,liam.martin2@gmail.com,Loyalty points missing,pending,high,2026-06-14,bad
ZD-5079,david.brown95@gmail.com,Where is my order,open,high,2026-06-22,bad
ZD-5080,zoe.ali5@hotmail.com,Damaged item,pending,normal,2026-06-27,good
ZD-5081,zoe.khan65@yahoo.com,Refund request,pending,normal,2026-06-16,good
ZD-5082,noah.smith86@yahoo.com,Sizing question,solved,normal,2026-07-13,bad
ZD-5083,raj.martin45@gmail.com,Sizing question,solved,high,2026-07-26,
